# Simulation 2D plane x | 2020-08-03 14:34:00.338641
x;y;z;Bx;By;Bz;Fx;Fy;Fz
[mm];[mm];[mm];[mT];[mT];[mT];[N];[N];[N]
0.0;-30.0;0.0;4.540803611340422e-17;-0.7415695063265435;-0.6684630162350084;0.0;9.074e-07;-3.08e-08
0.0;-28.235294117647058;0.0;5.5238633806364535e-17;-0.9021153502352486;-0.7563280630414966;0.0;1.3274e-06;-4.95e-08
0.0;-26.470588235294116;0.0;6.777189811628219e-17;-1.106799089557375;-0.8579096027417444;0.0;1.9812e-06;-8.13e-08
0.0;-24.705882352941178;0.0;8.392182226439972e-17;-1.370547366356232;-0.9753168127694455;0.0;3.0241e-06;-1.36e-07
0.0;-22.941176470588236;0.0;1.049789329618738e-16;-1.7144360812434118;-1.110815305670712;0.0;4.7337e-06;-2.324e-07
0.0;-21.176470588235293;0.0;1.3280136225114864e-16;-2.1688108333539127;-1.2667156153845323;0.0;7.625e-06;-4.061e-07
0.0;-19.411764705882355;0.0;1.7012851822345463e-16;-2.778409551911698;-1.4451727720928385;0.0;1.26948e-05;-7.267e-07
0.0;-17.647058823529413;0.0;2.2111914432474923e-16;-3.6111496715412312;-1.647860446240726;0.0;2.19719e-05;-1.3348e-06
0.0;-15.882352941176471;0.0;2.9232508729506154e-16;-4.774030969559381;-1.8754828902265301;0.0;3.98482e-05;-2.5238e-06
0.0;-14.117647058823529;0.0;3.9457234424932094e-16;-6.443855396087061;-2.1271028529741174;0.0;7.6583e-05;-4.9319e-06
0.0;-12.352941176470587;0.0;5.468960935434501e-16;-8.931491004985608;-2.3993067276591047;0.0;0.00015859;-1.00313e-05
0.0;-10.588235294117649;0.0;7.856311660405813e-16;-12.830330615938706;-2.6853121821249495;0.0;0.0003631678;-2.14885e-05
0.0;-8.823529411764707;0.0;1.1882995747839683e-15;-19.40640477909727;-2.9742489275133988;0.0;0.0009600623;-4.95697e-05
0.0;-7.0588235294117645;0.0;1.948740118669868e-15;-31.825341315171958;-3.25097767218863;0.0;0.0031688201;-0.0001289003
0.0;-5.294117647058826;0.0;3.6906447621439065e-15;-60.272802978188935;-3.496872334580731;0.0;0.0154727076;-0.0004228893
0.0;-3.529411764705884;0.0;9.818621194804414e-15;-160.350252850708;-3.691856774274099;0.0;0.1968294348;-0.002706163
0.0;-1.764705882352942;0.0;nan;nan;nan;nan;nan;nan
0.0;0.0;0.0;nan;nan;nan;nan;nan;nan
0.0;1.764705882352942;0.0;nan;nan;nan;nan;nan;nan
0.0;3.529411764705884;0.0;9.818621194804414e-15;160.350252850708;-3.691856774274099;0.0;-0.1968294348;-0.002706163
0.0;5.294117647058826;0.0;3.6906447621439065e-15;60.272802978188935;-3.496872334580731;0.0;-0.0154727076;-0.0004228893
0.0;7.058823529411761;0.0;1.9487401186698706e-15;31.825341315172004;-3.2509776721886365;0.0;-0.0031688201;-0.0001289003
0.0;8.823529411764703;0.0;1.1882995747839701e-15;19.406404779097297;-2.9742489275133943;0.0;-0.0009600623;-4.95697e-05
0.0;10.588235294117645;0.0;7.856311660405817e-16;12.830330615938713;-2.685312182124949;0.0;-0.0003631678;-2.14885e-05
0.0;12.352941176470587;0.0;5.468960935434501e-16;8.931491004985608;-2.3993067276591047;0.0;-0.00015859;-1.00313e-05
0.0;14.117647058823529;0.0;3.9457234424932094e-16;6.443855396087061;-2.1271028529741174;0.0;-7.6583e-05;-4.9319e-06
0.0;15.882352941176471;0.0;2.9232508729506154e-16;4.774030969559381;-1.8754828902265301;0.0;-3.98482e-05;-2.5238e-06
0.0;17.647058823529413;0.0;2.2111914432474923e-16;3.6111496715412312;-1.647860446240726;0.0;-2.19719e-05;-1.3348e-06
0.0;19.411764705882348;0.0;1.701285182234549e-16;2.7784095519117025;-1.445172772092839;0.0;-1.26948e-05;-7.267e-07
0.0;21.17647058823529;0.0;1.328013622511486e-16;2.1688108333539122;-1.266715615384535;0.0;-7.625e-06;-4.061e-07
0.0;22.941176470588232;0.0;1.0497893296187392e-16;1.7144360812434138;-1.11081530567071;0.0;-4.7337e-06;-2.324e-07
0.0;24.705882352941174;0.0;8.392182226439976e-17;1.3705473663562326;-0.9753168127694456;0.0;-3.0241e-06;-1.36e-07
0.0;26.470588235294116;0.0;6.777189811628219e-17;1.106799089557375;-0.8579096027417444;0.0;-1.9812e-06;-8.13e-08
0.0;28.235294117647058;0.0;5.5238633806364535e-17;0.9021153502352486;-0.7563280630414966;0.0;-1.3274e-06;-4.95e-08
0.0;30.0;0.0;4.540803611340422e-17;0.7415695063265435;-0.6684630162350084;0.0;-9.074e-07;-3.08e-08
0.0;-30.0;0.8823529411764706;4.7737257451365635e-17;-0.7796085775033613;-0.6183256177967442;0.0;8.986e-07;-4.48e-08
0.0;-28.235294117647058;0.8823529411764706;5.790583149883155e-17;-0.945673994153218;-0.6934063216747195;0.0;1.3125e-06;-7.23e-08
0.0;-26.470588235294116;0.8823529411764706;7.08199381958384e-17;-1.15657736165474;-0.7782583819118537;0.0;1.9558e-06;-1.192e-07
0.0;-24.705882352941178;0.8823529411764706;8.73913032199989e-17;-1.427208290273475;-0.8735339776917018;0.0;2.9796e-06;-2.006e-07
0.0;-22.941176470588236;0.8823529411764706;1.0890141438077684e-16;-1.7784950641539787;-0.9793867304956309;0.0;4.6538e-06;-3.458e-07
0.0;-21.176470588235293;0.8823529411764706;1.3718724832621053e-16;-2.240437788621595;-1.0949852743682744;0.0;7.4776e-06;-6.12e-07
0.0;-19.411764705882355;0.8823529411764706;1.7494561169672065e-16;-2.8570786584103205;-1.217652173623431;0.0;1.24144e-05;-1.1156e-06
0.0;-17.647058823529413;0.8823529411764706;2.262541627466132e-16;-3.69501088647176;-1.341301785028785;0.0;2.14191e-05;-2.1054e-06
0.0;-15.882352941176471;0.8823529411764706;2.9751159270286834e-16;-4.858733030780916;-1.4534735969970036;0.0;3.87072e-05;-4.1434e-06
0.0;-14.117647058823529;0.8823529411764706;3.9924473644951864e-16;-6.520161351460493;-1.5292837008736606;0.0;7.40857e-05;-8.5994e-06
0.0;-12.352941176470587;0.8823529411764706;5.498564048720791e-16;-8.979836557853424;-1.517804497915271;0.0;0.0001526545;-1.91735e-05
0.0;-10.588235294117649;0.8823529411764706;7.841573195049766e-16;-12.806260875395868;-1.307132059143979;0.0;0.0003472064;-4.74009e-05
0.0;-8.823529411764707;0.8823529411764706;1.1752241232198615e-15;-19.192866449952724;-0.6185005710366912;0.0;0.0009077472;-0.0001375006
0.0;-7.0588235294117645;0.8823529411764706;1.899896542948717e-15;-31.02766518920392;1.3955994638059497;0.0;0.0029277039;-0.0005211017
0.0;-5.294117647058826;0.8823529411764706;3.481863288598721e-15;-56.86314276120968;8.294027715669099;0.0;0.0133532185;-0.0032293277
0.0;-3.529411764705884;0.8823529411764706;7.851066931861584e-15;-128.21765324218873;46.98532591353392;0.0;0.1098068673;-0.055751757
0.0;-1.764705882352942;0.8823529411764706;9.40915902640558e-15;-153.66322817250824;262.1639000007977;0.0;0.1370844056;-0.6028883429
0.0;0.0;0.8823529411764706;0.0;0.0;330.04488458510724;0.0;0.0;-0.5524003479
0.0;1.764705882352942;0.8823529411764706;9.40915902640558e-15;153.66322817250824;262.1639000007977;0.0;-0.1370844056;-0.6028883429
0.0;3.529411764705884;0.8823529411764706;7.851066931861584e-15;128.21765324218873;46.98532591353392;0.0;-0.1098068673;-0.055751757
0.0;5.294117647058826;0.8823529411764706;3.481863288598721e-15;56.86314276120968;8.294027715669099;0.0;-0.0133532185;-0.0032293277
0.0;7.058823529411761;0.8823529411764706;1.8998965429487193e-15;31.02766518920396;1.3955994638059463;0.0;-0.0029277039;-0.0005211017
0.0;8.823529411764703;0.8823529411764706;1.175224123219862e-15;19.192866449952735;-0.618500571036688;0.0;-0.0009077472;-0.0001375006
0.0;10.588235294117645;0.8823529411764706;7.841573195049768e-16;12.806260875395871;-1.3071320591439823;0.0;-0.0003472064;-4.74009e-05
0.0;12.352941176470587;0.8823529411764706;5.498564048720791e-16;8.979836557853424;-1.517804497915271;0.0;-0.0001526545;-1.91735e-05
0.0;14.117647058823529;0.8823529411764706;3.9924473644951864e-16;6.520161351460493;-1.5292837008736606;0.0;-7.40857e-05;-8.5994e-06
0.0;15.882352941176471;0.8823529411764706;2.9751159270286834e-16;4.858733030780916;-1.4534735969970036;0.0;-3.87072e-05;-4.1434e-06
0.0;17.647058823529413;0.8823529411764706;2.262541627466132e-16;3.69501088647176;-1.341301785028785;0.0;-2.14191e-05;-2.1054e-06
0.0;19.411764705882348;0.8823529411764706;1.749456116967209e-16;2.8570786584103245;-1.2176521736234316;0.0;-1.24144e-05;-1.1156e-06
0.0;21.17647058823529;0.8823529411764706;1.371872483262105e-16;2.2404377886215947;-1.0949852743682744;0.0;-7.4776e-06;-6.12e-07
0.0;22.941176470588232;0.8823529411764706;1.0890141438077686e-16;1.7784950641539792;-0.979386730495631;0.0;-4.6538e-06;-3.458e-07
0.0;24.705882352941174;0.8823529411764706;8.73913032199989e-17;1.427208290273475;-0.8735339776917023;0.0;-2.9796e-06;-2.006e-07
0.0;26.470588235294116;0.8823529411764706;7.08199381958384e-17;1.15657736165474;-0.7782583819118537;0.0;-1.9558e-06;-1.192e-07
