# Simulation 3D | 2020-08-03 14:34:13.271519
x;y;z;Bx;By;Bz;Fx;Fy;Fz
[mm];[mm];[mm];[mT];[mT];[mT];[N];[N];[N]
-30.0;-30.0;0.0;-0.16030278630493475;-0.16030278630493477;-0.3035173476126236;6.82e-08;6.82e-08;-1.7e-09
-30.0;-30.0;5.0;-0.20953888733128012;-0.20953888733128018;-0.22706516509753927;6.52e-08;6.52e-08;-7e-09
-30.0;-30.0;10.0;-0.23258684888138648;-0.2325868488813865;-0.14519822831993956;5.83e-08;5.83e-08;-1.31e-08
-30.0;-30.0;15.0;-0.23314856006648488;-0.23314856006648493;-0.07101739557493568;4.83e-08;4.83e-08;-1.75e-08
-30.0;-30.0;20.0;-0.2180857756362424;-0.21808577563624246;-0.0118776891348158;3.74e-08;3.74e-08;-1.9e-08
-30.0;-30.0;25.0;-0.19447050295561089;-0.1944705029556109;0.030361139798320922;2.75e-08;2.75e-08;-1.81e-08
-30.0;-30.0;30.0;-0.16785244851421074;-0.16785244851421077;0.05741878784820516;1.94e-08;1.94e-08;-1.56e-08
-30.0;-20.0;0.0;-0.3332776695872148;-0.22218511305814315;-0.4469593519733037;2.329e-07;1.553e-07;-6.8e-09
-30.0;-20.0;5.0;-0.4188717782728023;-0.27924785218186815;-0.30045889881399424;2.171e-07;1.447e-07;-2.71e-08
-30.0;-20.0;10.0;-0.4420554889739475;-0.2947036593159649;-0.15511677526644407;1.833e-07;1.222e-07;-4.64e-08
-30.0;-20.0;15.0;-0.4184722404404964;-0.27898149362699753;-0.03632002335115286;1.402e-07;9.34e-08;-5.57e-08
-30.0;-20.0;20.0;-0.36886382419514835;-0.24590921613009886;0.04667645486355458;9.88e-08;6.59e-08;-5.39e-08
-30.0;-20.0;25.0;-0.3104462407965652;-0.20696416053104344;0.09656036627546513;6.57e-08;4.38e-08;-4.57e-08
-30.0;-20.0;30.0;-0.25392970603484455;-0.16928647068989633;0.12126932624632708;4.21e-08;2.81e-08;-3.56e-08
-30.0;-10.0;0.0;-0.5916049734651928;-0.197201657821731;-0.5981347974727219;6.167e-07;2.056e-07;-2.02e-08
-30.0;-10.0;5.0;-0.7166656753154104;-0.23888855843847018;-0.3575995309723369;5.59e-07;1.863e-07;-7.73e-08
-30.0;-10.0;10.0;-0.7213056843897669;-0.24043522812992238;-0.13581589450833004;4.447e-07;1.482e-07;-1.217e-07
-30.0;-10.0;15.0;-0.6476560271131765;-0.21588534237105886;0.027628486504874164;3.137e-07;1.046e-07;-1.32e-07
-30.0;-10.0;20.0;-0.5412875409424452;-0.18042918031414845;0.12673536737269486;2.022e-07;6.74e-08;-1.154e-07
-30.0;-10.0;25.0;-0.4333981495131642;-0.14446604983772143;0.17474486527813204;1.231e-07;4.1e-08;-8.88e-08
-30.0;-10.0;30.0;-0.3390449614709063;-0.11301498715696878;0.18927543084735354;7.28e-08;2.42e-08;-6.33e-08
-30.0;0.0;0.0;-0.7415695063265435;9.081607222680844e-17;-0.6684630162350084;9.074e-07;0.0;-3.08e-08
-30.0;0.0;5.0;-0.8840296018021688;1.0826240221985353e-16;-0.3771525424348835;8.118e-07;0.0;-1.163e-07
-30.0;0.0;10.0;-0.8714442841964174;1.067211453276399e-16;-0.11719103428457794;6.281e-07;0.0;-1.765e-07
-30.0;0.0;15.0;-0.76472180962882;9.36514116400106e-17;0.06537560508794323;4.271e-07;0.0;-1.833e-07
-30.0;0.0;20.0;-0.6248555335894679;7.652273291398533e-17;0.16855774034350843;2.648e-07;0.0;-1.535e-07
-30.0;0.0;25.0;-0.49010883088666457;6.002102109792052e-17;0.21257604116410697;1.554e-07;0.0;-1.134e-07
-30.0;0.0;30.0;-0.3766026142895781;4.6120518614025707e-17;0.22032069542030333;8.88e-08;0.0;-7.8e-08
-30.0;10.0;0.0;-0.5916049734651928;0.197201657821731;-0.5981347974727219;6.167e-07;-2.056e-07;-2.02e-08
-30.0;10.0;5.0;-0.7166656753154104;0.23888855843847018;-0.3575995309723369;5.59e-07;-1.863e-07;-7.73e-08
-30.0;10.0;10.0;-0.7213056843897669;0.24043522812992238;-0.13581589450833004;4.447e-07;-1.482e-07;-1.217e-07
-30.0;10.0;15.0;-0.6476560271131765;0.21588534237105886;0.027628486504874164;3.137e-07;-1.046e-07;-1.32e-07
-30.0;10.0;20.0;-0.5412875409424452;0.18042918031414845;0.12673536737269486;2.022e-07;-6.74e-08;-1.154e-07
-30.0;10.0;25.0;-0.4333981495131642;0.14446604983772143;0.17474486527813204;1.231e-07;-4.1e-08;-8.88e-08
-30.0;10.0;30.0;-0.3390449614709063;0.11301498715696878;0.18927543084735354;7.28e-08;-2.42e-08;-6.33e-08
-30.0;20.0;0.0;-0.3332776695872148;0.22218511305814315;-0.4469593519733037;2.329e-07;-1.553e-07;-6.8e-09
-30.0;20.0;5.0;-0.4188717782728023;0.27924785218186815;-0.30045889881399424;2.171e-07;-1.447e-07;-2.71e-08
-30.0;20.0;10.0;-0.4420554889739475;0.2947036593159649;-0.15511677526644407;1.833e-07;-1.222e-07;-4.64e-08
-30.0;20.0;15.0;-0.4184722404404964;0.27898149362699753;-0.03632002335115286;1.402e-07;-9.34e-08;-5.57e-08
-30.0;20.0;20.0;-0.36886382419514835;0.24590921613009886;0.04667645486355458;9.88e-08;-6.59e-08;-5.39e-08
-30.0;20.0;25.0;-0.3104462407965652;0.20696416053104344;0.09656036627546513;6.57e-08;-4.38e-08;-4.57e-08
-30.0;20.0;30.0;-0.25392970603484455;0.16928647068989633;0.12126932624632708;4.21e-08;-2.81e-08;-3.56e-08
-30.0;30.0;0.0;-0.16030278630493475;0.16030278630493477;-0.3035173476126236;6.82e-08;-6.82e-08;-1.7e-09
-30.0;30.0;5.0;-0.20953888733128012;0.20953888733128018;-0.22706516509753927;6.52e-08;-6.52e-08;-7e-09
-30.0;30.0;10.0;-0.23258684888138648;0.2325868488813865;-0.14519822831993956;5.83e-08;-5.83e-08;-1.31e-08
